State,First_vaccine_date,Full,Before,first_week,first_second_week,before_last_game,second_seven_week,second_second_week,After,RMSE
CAN,2020-12-21,-12.422846398369893,20.88025613595933,31.473892159222977,8.517113465725522,-13.909742772421998,-24.259565452390653,-31.20107316062002,-36.430544013824694,433.37613966858873
CHE,2020-12-28,-84.11574135106275,-47.717604213504536,-72.61169065482821,-85.15232621948047,-91.37510025790148,-93.60594555067628,-93.83975619372255,-93.49926409671863,1398.7358426605172
CHL,2020-12-31,23.374624355162883,3.9923560035249515,21.765388876541035,33.207105051422744,44.03400513956179,68.4280076113192,102.29232317536814,112.1034534432954,384.7580913999668
CHN,2020-12-22,6.4879319632112855,3.7995271279762024,5.76065685562392,-15.597829991517893,-22.819654819171966,18.261998063061,87.94059540084938,94.93646612477802,19.18501459826135
CIV,2021-03-08,-48.351415181219934,13.81318749707406,-34.115115882844606,-57.43413784862137,-60.59397747867803,-61.33947655605642,-70.74375906727215,-75.89567694500221,79.58031609202892
CMR,2021-04-18,-529.2694368270265,-1595.5024099844445,,64.93672305711407,36.47806168374436,194.00346436437593,300.4336082380863,,729.591200334267
COD,2021-04-25,-14.53843587743035,-10.191787826735242,-32.34619734391496,-33.64411836905463,-40.44165916799619,-19.92392179954511,30.895030875437612,117.45804258240517,72.79716807072512
COG,2021-04-21,52.76005950368277,30.136748476919166,131.76320670907583,62.962187340843826,25.71558430055081,50.8544574886081,85.9853688164824,79.28653738827424,8.623510488710092
COL,2021-02-24,95.81083135661915,27.944509080197417,118.41021126644391,205.3595674178235,293.38261253201034,352.7017782977508,458.51143021252045,580.2135057941963,11463.849501046425
COM,2021-04-28,139.96128781996418,23.140935559265525,303.91820649780504,919.2009105277372,439.53597507849213,314.83315337528364,204.45860261776104,203.18142121416605,3.2901182907105118
CPV,2021-03-25,-43.22505772631603,1.1390255145196553,-18.75737363741293,-4.873087906646056,-46.84856435227255,-83.38552404140586,-120.48047431079192,-95.98193995193525,32.258943682800805
CRI,2020-12-31,-19.731298371145172,-5.5868382793518565,-14.15817926471866,-9.70940311093853,-23.85090899896017,-29.262855727720815,-39.27646744280507,-47.76949684121362,420.83109256105365
CUB,2021-06-07,-38.31934646171396,-37.50073018530153,-46.65285752594028,-44.826496071641245,-38.21836021883037,-35.556175415189045,-33.19304472542957,-18.743544521896712,3126.052638895301
