State,Full,Before,During,After
GNB,-28.49764718188107,-15.090250658225363,-33.152091799155556,-31.029066739215295
GNQ,59.833345016436446,96.80998126936878,426.64617218328846,9.556820563888706
GRC,-70.68296601792078,-58.73930098633815,-69.67235931724217,-74.83063953023999
GRD,-97.14552707406429,-97.27351676353493,-74.3661651055438,-97.56121426786318
GRL,-92.45087924012584,-79.67122375834236,-85.12929862385636,-94.98965721290251
GTM,-33.210360883258105,-14.642944506269288,-25.475460329317706,-43.66958079752876
GUY,-8.316075091308669,-16.107310983757937,-18.839394959272205,-7.694449737887876
HND,-14.959588010911046,26.19489449922906,4.872824937952231,-29.48220190123511
HRV,-21.24034119136683,21.405018524495226,-2.348826536589159,-37.312780028048884
HUN,-57.692395053924585,-30.182369921274315,-50.513800024735,-67.41825323762207
IDN,43.78875060509734,-9.856472922303663,6.420380662118057,121.14249264162507
IMN,-71.21704697852641,-75.00851264074701,-91.35993842317471,-49.790101562001546
IND,15.329636997694953,5.1867288898201185,11.58076550213601,23.325581222152785
IRL,-34.754418283307814,-9.231836400667575,-39.680404317836974,-41.61461995305063
IRN,-54.52950216263381,-20.271849026279195,-48.25796661456265,-64.48874386969501
IRQ,0.06551721031197703,0.5203447608443342,-3.2049550446775106,8.576478414080034
ISL,-87.22615929002215,-17.473785704004126,-83.38483234849048,-89.37953804401748
ISR,-58.73591017146945,22.250719799152225,4.970856534567903,-71.00920036773847
ITA,-87.40464098149717,-18.5084315642199,-51.36648618386875,-99.66145436834731
JAM,-83.73630908323204,-11.902939673302185,-53.213167449796,-91.3085664944678
JEY,95.42839700817868,-28.38608492665071,-4.7892455583899,585.3048560114545
JOR,-33.67808278945578,-11.862373463268723,-6.3453096122864965,-41.961746335467076
JPN,-70.58761129864757,-7.533933997304261,-49.792644153123724,-78.4992482755871
KEN,-39.66009325747187,-18.370697746641117,-31.06016306142589,-47.51111882404424
KHM,44.623781036396224,5.728509760188312,21.986885466432483,93.16682003150127
